id,imdb_id,original_title,release_date,runtime,revenue,action,adventure,animation,comedy,crime,documentary,drama,family,fantasy,history,horror,music,mystery,romance,science fiction,tv movie,thriller,war,western,qtd_genres,day,month,year,day_of_week
428.0,tt0806679,Sommer '04,2006-10-11,97.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,11,10,2006,Wednesday
429.0,tt0060196,"Il buono, il brutto, il cattivo",1966-12-23,161.0,25253887.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,23,12,1966,Friday
430.0,tt0055256,"One, Two, Three",1961-12-15,115.0,4000000.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,15,12,1961,Friday
431.0,tt0123755,Cube,1997-09-09,90.0,8969065.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,3,9,9,1997,Tuesday
433.0,tt0058331,Mary Poppins,1964-08-27,139.0,103082380.0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,27,8,1964,Thursday
434.0,tt0475317,Knallhart,2006-03-09,98.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,9,3,2006,Thursday
435.0,tt0319262,The Day After Tomorrow,2004-05-26,124.0,552639571.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,26,5,2004,Wednesday
436.0,tt0390221,"María, llena eres de gracia",2004-01-18,101.0,12450821.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,18,1,2004,Sunday
437.0,tt0285492,Cube 2: Hypercube,2002-04-15,94.0,3563603.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,3,15,4,2002,Monday
438.0,tt0377713,Cube Zero,2004-10-10,97.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,3,10,10,2004,Sunday
439.0,tt0053779,La dolce vita,1960-02-05,176.0,19647000.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,1960,Friday
440.0,tt0758730,Aliens vs Predator: Requiem,2007-12-25,94.0,130290885.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,5,25,12,2007,Tuesday
441.0,tt0219822,Human Nature,2001-09-12,96.0,1600000.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,12,9,2001,Wednesday
